MARCA ,TEMPORADA ,PROVEEDOR,CATEGORIA ,INFO GRAL.,CODIGO EAN ,DESCRIPCIÓN ,COLOR/WASH,CANTIDAD,ORIGEN,COSTO ESTIMADO ,PVP SUGERIDO B2C,PVP SUGERIDO B2B,MARGEN B2C,MARGEN B2B,FECHA APROXIMADA DE ARRIBO
Wrangler ,SS26/27,KENPARK,Vaquero ,,,Frontier ,Storm Cloud ,150,Bangladesh ,$19.72,"415,000  ","290,500",68%,52%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,Daren Reg Straight ,Strong Hand,450,Bangladesh ,$19.35,"409,000  ","286,300",68%,53%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,Daren Reg Straight ,Noble Blue ,450,Bangladesh ,$18.58,"409,000  ","286,300",69%,55%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,Brooklyn Classic Straight ,Jasper ,450,Bangladesh ,$20.31,"429,000  ","300,300",68%,53%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,West Regular Straight ,Fawn ,450,Bangladesh ,$19.14,"409,000  ","286,300",68%,53%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,West Regular Straight ,Indigo Warp,450,Bangladesh ,$15.76,"339,000  ","237,300",68%,54%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,West Regular Straight ,Percy ,450,Bangladesh ,$20.19,"429,000  ","300,300",68%,53%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,Luke Slim Taper ,Rinse ,450,Bangladesh ,$13.49,"319,000  ","223,300",71%,58%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,Rider Slim Straight ,Black Rinse ,450,Bangladesh ,$14.33,"319,000  ","223,300",69%,55%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,Rider Slim Straight ,Hyperion ,450,Bangladesh ,$17.68,"379,000  ","265,300",68%,53%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,Rider Slim Straight ,Spirited,450,Bangladesh ,$18.13,"379,000  ","265,300",67%,52%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,Breese Flare ,Out of time ,450,Bangladesh ,$20.31,"429,000  ","300,300",68%,53%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,Marion ,Afternoon Song ,450,Bangladesh ,$18.40,"389,000  ","272,300",68%,53%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,Scarlett High ,With Envy ,450,Bangladesh ,$18.25,"389,000  ","272,300",68%,53%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,Breese Boot ,Darker Days ,294,Bangladesh ,$18.39,"389,000  ","272,300",68%,53%,3/5/2026
LEE,SS26/27,KENPARK,Vaquero ,,,Mid Rise Jort ,Tinted Blue ,234,Bangladesh ,$17.75,"379,000  ","265,300",68%,53%,3/5/2026
Martel ,FW26,TIMEKOL,Pantalón ,,,Pantalón clásico Slim Fit ,Beige,400,Bangladesh ,$16.10,"325,000  ","227,500",66%,50%,3/20/2026
Martel ,FW26,TIMEKOL,Pantalón ,,,Pantalón clásico Slim Fit ,Negro,400,Bangladesh ,$16.10,"325,000  ","227,500",66%,50%,3/20/2026
Martel ,FW26,TIMEKOL,Pantalón ,,,Pantalón clásico Slim Fit ,Azul Marino ,400,Bangladesh ,$16.10,"345,000  ","241,500",68%,53%,3/20/2026
Martel ,FW26,TIMEKOL,Pantalón ,,,Pantalón clásico Regular Fit ,Beige,400,Bangladesh ,$16.38,"345,000  ","241,500",68%,53%,3/20/2026
Martel ,FW26,TIMEKOL,Pantalón ,,,Pantalón clásico Regular Fit ,Negro,400,Bangladesh ,$16.38,"345,000  ","241,500",68%,53%,3/20/2026
Martel ,FW26,TIMEKOL,Pantalón ,,,Pantalón clásico Regular Fit ,Azul Marino ,400,Bangladesh ,$16.38,"345,000  ","241,500",68%,53%,3/20/2026
Martel ,FW26,TIMEKOL,Pantalón ,,,Pantalón Slim fit c/ media goma ,Beige,400,Bangladesh ,$15.96,"345,000  ","241,500",69%,54%,3/20/2026
